Centenarian,Mito
Arginine,Arginine
Asparagine,Asparagine
L-Alanine,Alanine
L-Aspartate,Aspartate
L-Cysteine,
L-Glutamate,Glutamate
L-Glutamine,Glutamine
L-Isoleucine,Isoleucine
L-Leucine,Leucine
L-Proline,Proline
L-Serine,Serine
L-Threonine,Threonine
L-Tryptophan,Tryptophan
L-Tyrosine,Tyrosine
L-Valine,Valine
Lysine,Lysine
Methionine,Methionine
Phenylalanine,Phenylalanine
2-Oxobutyric acid,alpha-Ketobutyrate
3-Methylhistidine,
Betaine,
cis-4-Hydroxy-D-proline,
Cystathionine,Cystathionine
Cystine,Cystine
Homoserine,
Kynurenine,
N-acetylaspartate,N-acetylaspartate
Pipecolic acid,Pipecolic acid
S-Adenosyl-L-homocysteine,S-Adenosylhomocysteine
Taurine,Taurine
D-Glucosamine,Glucosamine
N-Acetylneuraminate,N-Acetylneuraminic acid
Creatine,Creatine
Creatine Phosphate,Phosphocreatine
Creatinine,Creatinine
Guanidinoacetate,
2PG,3PG
D-Glucose,
DHAP,DHAP
Lactate,Lactate
Pyruvate,Pyruvate
4-Oxoproline,
Acetyl-L-carnitine,
Aminoadipic acid,Aminoadipic acid
Galactarate,
gamma-L-Glutamyl-L-alanine,
Glucuronic acid,Glucuronic acid
L-carnitine,
N-Acetyltryptophan,N-Acetyltryptophan
O-Phosphorylethanolamine,O-Phosphorylethanolamine
Tartrate,Tartrate
Gluconate,Gluconate
ADP,ADP
AMP,AMP
ATP,ATP
Hypoxanthine,Hypoxanthine
Inosine,Inosine
Orotidine,Orotidine
Thymine,Thymine
UDP,UDP
Uridine,Uridine
5-oxoproline,5-Oxoproline
Anserine,
gamma-Glutamylcysteine,
L-Glutathione oxidized,GSSG
L-Glutathione reduced,GSH
alpha-Ketoglutarate,alpha-Ketoglutarate
Fumarate,Fumarate
GABA,
Malate,Malate
Succinate,Succinate
Citrulline,Citrulline
Guanidinosuccinic acid,
Ornithine,Ornithine
